,tweet,Processed Text
57,"Iya percaya, jd next seragam satpam warna apa nih",iya lanjut seragam satuan pengamanan warna apa ini
58,kadang yg ngejual juga oknumnya sendiri mangkanya tau siapa aja penggunanya. semua tinggal nunggu bom waktu buat nutupin masalah yang lagi rame (apalagi masalahnya orang2nya penguasa),kadang ngejual oknum sendiri mangkanya siapa guna semua tinggal menunggu bom waktu buat menutupi masalah lagi ramai masalah orang kuasa
59,"Harusnya kita sadar, kenapa selama ini penggunanya ditangkepin, dipampang di depan publik, dan dibikin malu sehingga kesannya pemberantasan narkoba telah berhasil. Padahal di luar sana bandar besar yg jadi sumber narkobanya masih bebas ongkang2 kaki ngejalanin bisnisnya.","harus sadar lama guna ditangkepin pampang depan publik bikin malu kesan berantas narkotika, psikotropika, dan obat terlarang hasil padahal luar sana bandar besar sumber narkobanya bebas ongkang kaki ngejalanin bisnis"
60,"(((kita percaya aja sama Polisi)))  

Jujur ini salah satu hal mustahil yang terdengar dapat dilakukan selain menghidupkan orang mati.",jujur salah satu mustahil dengar laku hidup mati
61,"Long long time ago, ada konspirasi di negeri kuvuki land. Menurut kabarnya bahwa si-poli disana dulu memiliki daftar nama para pemakai, dan dikeluarkan ke publik satu persatu jika ada kasus yg bisa melemahkan kerajaan kuvuki land. Kalo satu kurang cukup, maka bisa dua atau tiga.",long long time ago konspirasi negeri kuvuki land kabar sipoli sana dulu milik daftar nama keluar publik satu satu ada kasus lemah raja kuvuki land satu kurang cukup bisa atau tiga
62,"Keluarga, teman, rekan kerja, tetangga, itu kan masyarakat. Kemungkinan juga artis pengguna yang masih terjerat / yang sudah bebas (pengembangan kasus).

Macam² motif:
Upaya terakhir agar pengguna berhenti; faktor peringan hukuman; dendam; dan (mungkin) uang.

Loh, kok uang?",keluarga rekan kerja tetangga mungkin guna masih jerat bebas kembang kasusmacam motifupaya akhir guna henti faktor pering hukum dendam mungkin uangloh kok
63,sejak kapan peduli sama laporan masyarakat?,peduli
64,"Semoga bandar²nya diciduk juga ya. Kalau yang diciduk cuma pengguna mah, yah gak bakal ada abisnya.",bandar ciduk iya ciduk cuma guna mah ya bakal habis
65,tumben laporan masyarakat diproses ,tumben
66,ya masyarakat bkn netizen jg kali duh,bukan netizen juga kali
67,Ardito punya langganan tukang bakso sama siomay keliling di rumahnya. Sampe kaya temen deket.,langgan tukang bakso siomay keliling rumah sampai kayak dekat
68,Klo kalian punya temen anggota sih ngobrol sampe ke dlm2 akan paham cara mainnya gimana,kalian anggota mengobrol sampai dalam paham cara main bagaimana
69,"Tumben dengerin laporan masyarakat, oh mungkin masyarakat kelas atas ya?",tumben dengarkan mungkin kelas atas
70,"Katanya malah tau ganja dari 2011. Wewww, narkoboy senior. INI SIHHHH NETIJEN RAHIM ANGET BIKIN YANG SOK GANTENH BEBAS KELIARAN LAGI DI TIPI2 wkkk",kata bahkan ganja wow narkoboy senior netijen rahim anget bikin sok gantenh bebas keliar di TV wkkk
71,"Kalo di film mafia biasanya
Udah kerja sama sama bandar besar
Terus kalo butuh up berita tinggal kasih si target yg bandar pengen
Jadi bandar aman di Copsnya juga dapat berita",film mafia biasanyaudah kerja bandar besarterus butuh up berita tinggal kasih target bandar pengenjadi bandar aman copsnya dapat berita
72,Kalo udah positif ya tangkep aja. Mandang fisik banget,positif tangkap mandang fisik banget
73,nganu.. aparat kan masyarakat juga. *eh*,nganu aparat eh
74,Waktu itu ada polisi yg ngomong kok punya daftar selebritis pake narkoba ntar dibukanya pas ada kasus korupsi dll,"waktu bicara kok daftar selebritis narkotika, psikotropika, dan obat terlarang nanti buka pas ada kasus korupsi"
75,Yah parah bet di cepuin,ya parah banget cepuin
76,"Yg dimaksud masyarakat kan bisa teman sesama artis jg, entah krn persaingan ato alasan lain, spt dlu yg tjadi ke Raffi Ahmad, klu kelg kan tdk mgk lapor walau tau.",maksud juga entah karena saing atau alas seperti dulu tjadi raffi ahmad kelg tidak mungkin
77,"Mending percaya hitler jualan nasi uduk di garut, ketimbang percaya ama polisi",lebih baik hitler jual nasi uduk garut ketimbang
78,Percaya nya masih belum penuh bang masih 20% an lah kira2,belum penuh bang an lah kira
79,"Positif aja, mungkin bandarnya ketangkep duluan",positif mungkin bandar ketangkep duluan
80,Ardhito kan gak setenar Raffy Ahmad dan Baim wong,ardhito tenar raffy ahmad baim wong
81,"""hasil laporan masyarakat"" ketawain aja lah wkwkwk",hasil mentertawakan lah wkwkwk
82,"Modelnya gini, diam berteman bergerak masukin tahanan",model gin diam gerak masukkan tahan
83,"Gw yakin masyarakat jg g pduli artis pake narkoba apa engga, mereka berkarya mereka punya duit buat beli dan mereka g ngerugikan masyarkat.","saya yakin juga pduli narkotika, psikotropika, dan obat terlarang apa karya duit buat beli ngerugikan masyarkat"
84,bs jd ada spionnya,bisa spion
85,"Info dari masyarakat adalah kode untuk ""intel""",informasi kode intel
86,"Dulu ku pernah dapat kabar dari siapa gitu Kak, kalau polisi sebenernya udah mengkantongi siapa aja yg pake. Terus kalau pemakai sudah make lama baru ditangkap. Kaya' dibiarin dulu biar mengembang baru ditangkap gitu. Tapi gak tau ini fact atau hoax",dulu ku pernah kabar siapa begitu kak sebenarnya kantong siapa terus memakai lama baru tangkap kayak dibiarkan dulu biar kembang baru tangkap begitu fact isu bohong
87, laporan masyarakat,
88,"Kalo saya yakih sih ada artis yg nyambilan jadi cepu seperti admin Lamtur, karena jujur saya pernah ditawarin jadi cepu narkoba karena kebetulan saya punya temen WNA Filipina, tau kan Filipina Narkobanya Jor-joran makannya ditembakin sama Duterte.","yakih nyambilan admin lamtur jujur pernah ditawarin narkotika, psikotropika, dan obat terlarang betul wna filipina filipina narkobanya jorjoran makan ditembakin duterte"
89,"Mau polisi punya list artis yang make narkoba atau ga punya kan bukan urusan kita, yang penting polisi udah lakuin tugasnya dengan baik. Heran bgt netizen wkwk","mau list memakai narkotika, psikotropika, dan obat terlarang bukan urus penting melakukan tugas baik heran banget netizen wkwk"
90,I don't even know who ardhito is,i dont even know who ardhito is
91,Temen²nya kan masyarakat juga,temannya
92,"Iya percaya aja udah, serah elu p",iya serah kamu p
93,Masyarakat = bandarnya,bandar
94,Percaya kok sama polisi,kok
95,Cepu kan oknumnya masyarakat,oknum
96,Yg dimaksud masyarakat itu bisa dinamakan cepunya yg jg dpt bagian keuntungan kalo ngelapor,maksud bisa nama juga dapat bagi untung ngelapor
97,seperti biasa. akan ada kasus besar yang tertutup sama kasus artis. tidak heran lagi,biasa ada kasus besar tutup kasus heran
98,"ya kan pulici punya intel, artis jg punya banyak ""musuh"" klop lah",pulici intel juga banyak musuh klop lah
99,Laporan masyarakat???hmm...,masyarakathmm
100,Laporan masyarakat yg dimana? Bilang aja klo udah waktu nya tukar kepala,bilang waktu tukar kepala
101,"Bener sih, saat mereka sedang lepas dinas (libur) mereka jd masyarakat",benar sedang lepas dinas libur
102,"Ya salah sendiri buat konten yg ceritain doi pernah pake, paling gak dari situ udah masuk warning list.",salah sendiri buat konten ceritain doi pernah paling situ masuk warning list
103,Kerjasama dengan pengedar dong wak,kerjasama edar dong wak
104,ganja not drug,ganja not drug
105,Bisa jadi yg laporin temen ardhito di dunia artis atau enggak kan mereka juga masyarakat,laporin ardhito dunia tidak juga
106,"Ketika ad kasus korupsi, lgsg lempar smoke grenade.",ada kasus korupsi langsung lempar smoke grenade
107,"Dulu pernah satpam komplek cerita di penjara krn narkoba. 
Cerita dia di laporin sama istri nya nyabu. 
Krn pengen istri nya liat dia g nyabu lagi. 
Mana tau yg laporin istri nya biar bisa di rehab","dulu pernah satuan pengamanan komplek cerita penjara karena narkotika, psikotropika, dan obat terlarang cerita di laporin istri nyabu karena ken istri lihat nyabu mana laporin istri biar di rehabilitasi"
108,"Ya ga mungkin lah bilang ""kita ada 1nt3l""",mungkin lah bilang ada ntl
109,"Ya dilogika aja sih bang masa polisi punya kartu AS mau dibuka sih, rahasia lah ",logika bang masa kartu as mau buka rahasia lah
110,cepu juga bagian dari masyarakat bang,bagi bang
111,pppp cepuuu,pppp cepuuu
112,Hahaha...itulah kerja intelejen...,hahahaitulah kerja intelejen
113,How come??? Laporan masyarakat yang mana??,how come mana
114,"Laporan polisi ketika sedang jadi masyarakat, alias ngintel",sedang alias ngintel
115,banyak tukang jualan dadakan bawa HT keknya nih,banyak tukang jual dada bawa hati seperti ini
116,iyain aja bang,iyain bang
117,"Pak pol juga masyarakat, sipil bersenjata wkwkwkkw",pak pol sipil senjata wkwkwkkw
118,"Punya pasti daftare, cm nangkape pake sistem arisan kayak e, dikocok nha nama yg keluar diciduk deh ",daftare cuma nangkape sistem arisan kayak e kocok nama keluar ciduk deh
119,"Ya temen dekatnya juga kan termasuk 'masyarakat' bang, gimane sih lu bg",dekat masuk bang gimane kamu abang
120,Cepunya mah si muslim wkwk,mah muslim wkwk
121,hmm,hmm
122,Korupsi gmnn??,korupsi gmnn
123,"""masyarakat"" nya bawa handy talky broo",bawa handy talky broo
124,Ada namanya kepala tuker kepala min di dunia begituan,nama kepala tuker kepala min dunia begitu
125,Percaya sama Polisi? Hmmm Nope!,hmmm nope
126,"Pertanyaan gua, emang knp klo polisi punya daftar artis yg ""make"" ? 
Ini koreksi aja ya kalo salah, menurut gua ga ada masalah klo polisi punya daftarnya.",tanya saya memang kenapa daftar memakai koreksi salah saya masalah daftar
127,halu pulici halu,halu pulici halu
128,"Kalo emang pengen memusnahkan narkoba harusnya bandar yg ditangkep, simple","memang ken musnah narkotika, psikotropika, dan obat terlarang harus bandar ditangkep simple"
129,Janggal,janggal
130,"""Laporan Masyarakat"" Permainan kata",main kata
131,Laporan ?,
132,Bohong ,bohong
133,Laporan masyarakat ? Lah anggota kalian jadi oknum aja didiemin.,lah anggota kalian oknum didiemin
134,"Ya, saya tahu anda orang hebat ",saya hebat
135,ga mungkin juga mereka mengakui “oh iya kita punya daftar semua artis yg pake” gamungkin dong,mungkin aku iya daftar semua gamungkin dong
136,Masyarat yang make juga dan polisi yang jadi masyarakat,masyarat memakai dan
137,"Ada yang namanya ""Reserse"" sih, semacam polisi rahasia.",nama reserse macam rahasia
138,Mau bilang cepu gak enak bilangnya masyarakat,mau bilang enak bilang
139,Pengalihan isu ga si,alih isu
140,Laporan masyarakat???,
141,si paling peduli sm laporan masyarakat,paling peduli
142,???? ya  in aza,ini
143,"Karena ga semuanya perlu diketahui masyarakat kl sdh giat penegak hukum. Coba cek aja omongan KPK setelah OTT, dr jaman baheula sampai skrg, sama kok. Pasti dr laporan masyarakat",semua perlu giat tegak hukum coba cek omong kpk ott dari jaman baheula sekarang kok dari
144,lu tau intel ga si mba wkwk,kamu intel mbak wkwk
145,Laporan cepu = laporan masyarakat,
146,Elehhh bokis wkwk,elehhh bohong wkwk
147,"Trus klo gak sama polisi sama siapa lagi percaya bro, gw juga yalin polisi punya caranya sendiri buat ngungkap kasus ginian gak musti punya daftar, contoh ada masyarakst ketangkep trus di introgasi trus ketahuan siapa aja yg make",terus siapa saudara laki-laki saya yalin cara sendiri buat ngungkap kasus beginian mesti daftar contoh masyarakst ketangkep terus introgasi terus siapa memakai
148,"Ini bisa yang udah ketangkep ngasi tau atau enggak temen sesama artisnya klo masyarakat mustahil sih,beda klo si artis open house terus narkoboy nya berserakan gtu",bisa ketangkep mengasih tidak mustahil sihbeda open house terus narkoboy sera begitu
149,Ya kan ardhito punya tmn mbaeeee. Emg tmn ardhito bukan termasuk masyarakat? Pastilah laporan2 kyk gini itu dari org2 terdekat mereka ,ardhito mbaeeee memang ardhito bukan masuk pasti seperti gin dari orang dekat
150,Habisi semua,habis semua
151,Cepuuu,cepuuu
152,pengalihan isu tentang pengalihan isu,alih isu alih isu
153,Yg lebih aneh kenapa bandarny gak pernah ketangkep,lebih aneh bandarny pernah ketangkep
154,"Tapi kalo misalkan polisi punya daftar terduga sebetulnya juga gak salah kan? Yang jadi pertanyannya sih kenapa pas ditangkep selalu berbarengan dengan isu lain yang lebih urgent, seolah2 penangkapan ini ibarat pengalihan isu. Keknya dari situ sih kecurigaan masyarakat",misal daftar duga juga salah pertanyannya pas ditangkep selalu bareng isu lebih urgent tangkap ibarat alih isu seperti situ curiga
155,Pemakenya ditangkepin bd dianggurin,pemakenya ditangkepin bd dianggurin
156,"Ya bener juga, yg lapor masyarakat yg profesinya...",benar profesi
157,Wkwkwk,wkwkwk
158,Mli yang Cepu,mli
159,Kenapa sih bg junkies itu di penjara bukan direhabilitasi sih?,abang junkies di penjara bukan rehabilitasi
160,Oh,
161,"""ini hasil laporan masyarakat"" maaf ini negara mana ya?",hasil maaf negara mana
162,"Yaa temennya lah yang nyepuin, siapa lagi?",ya temannya lah nyepuin siapa
163,Gabut bgt  keknya masyarakat sampe jd cepu wkwk,gabut banget seperti sampai wkwk
164,ga make sense alasannya,memakai sense alas
165,Biasanya masyarakat lapor g di gubris ,biasa gubris
166,"Masyarakat disini artinya bukan masyarakat biasa donggg, temen artis nya yg lain kan itungan nya masyarakat juga penyebutannya.",sini arti bukan biasa dong hitungan sebut
167,"Dari kurir yg ketangkep
Terus dikembangin",kurir ketangkepterus dikembangin
168,Ga,
169,cepu kan masyarakat juga bang,bang
170,"Laporan masyarakat, kelasnya  ""Masyarakat Elite""",kelas elite
171,masyarakat yg mana?,mana
172,Hah laporan masyarakat ?? Masyarakat mau lapor aja dibuat ribet.,hah mau buat ribet
173,Gak di tangkep salah di tangkep di cari2 biar keliatan janggal apa sih mau nya???,tangkap salah tangkap cari biar lihat janggal apa mau
174,"Iya mba, biarkan yg berseragam melakukan tugasnya 
Tugas kita hanyalah menghujat",iya mbak biar seragam laku tugas tugas hanya hujat
175,"Cepu lah. Banyak diluar sana.

Antara temennya sendiri atau orang terdekat.
Atau emang dijebak juga bisa  .

Ya makanya jangan nain narkoba. Heheh","lah banyak luar sanaantara temannya sendiri terdekatatau memang jebak bisa makanya jangan nain narkotika, psikotropika, dan obat terlarang heheh"
176,menurut gua sih ada orang dalem yg bocorin artis2 yg make gituan,saya dalem bocorin memakai begituan
177,Bukannya masyarakat itu pada males lapor ya? Karena nanti ada  ini dan itu dan sejenisnya,bukan pada malas karena ada dan dan jenis
178,Apakah “masyarakat” yang melapor adalah golongan tukang bakso dll?,golong tukang bakso
179,Artis juga ada yang cepu.. ,ada
180,Kayak selama ini laporan masyarakat ditanggepin aja,kayak lama ditanggepin
181,Polisi kan juga masyarakat.. ,
182,"Kalau konteksnya fico,,emang dia nya aja flexing sendiri di tweet nya,,di retweet followernya,,nyampe deh ke BNN,,,yaa bener emang,,hasil laporan masyarakat,,warga Twitter khususnya,",konteks ficoemang flexing sendiri tweet nyadi retweet followernyanyampe deh bnnyaa benar emanghasil masyarakatwarga twitter khusus
183,"Alias cepu, di alusin jadi laporan masyarakat, padahal kalo masyarakat lapor polisi seringan di diemin",alias alusin padahal sering diamkan
184,"Gua coba buat kesimpulan dr premis yang lo punya mas.

Ada beberapa orang yg tau kok ardhito punya istri, tapi ya buat apa ""dilaporin"" atau disebarluaskan. 
Cukup 1 orang aja yg tau dan melaporkan Ardhito pake narkoba udah cukup utk dijadikan bahan penyelidikan polisi.","saya coba buat simpul dari premis kamu masada beberapa kok ardhito istri iya buat apa dilaporin disebarluaskan cukup ardhito narkotika, psikotropika, dan obat terlarang cukup untuk bahan lidi"
185,Polisi yg nyamar jd masyarakat kak kayanya,nyamar kak kayak
186,Mungkin temennya si artis. Temennya si artis masyarakat juga kan.,mungkin temannya temannya
187,yaa,ya
188,masyarakat sebelah mana?,belah mana
189,Kek tak tau ja bang,seperti tidak bang
190,"Kan banyak polisi ""swasta""",banyak swasta
191,"Mereka kan juga punya orang kesekian dan kerja sama bareng ""mereka"" juga, jadi ya, udah pasti, udah jelas.
Perihal dia udah punya istri dan nikah tapi publik nggak tau mah, kurang.",sekian kerja bareng juga jelasperihal istri nikah publik mah kurang
192,Penting sopan,penting sopan
193,"Lagi rame kasus korup terus ada kasus artis pakai narkoboy, heboh artis lah",ramai kasus korupsi terus kasus narkoboy heboh lah
194,"Aku percaya tapi karena ajaran ""percaya hanya ke Tuhan"" jadi aku memilih untuk tidak percaya lagi pada polisi",karena ajar ke tuhan pilih tidak pada
195,"sbner nya data nya udah ada..  trus masa pengintaian. nunggu timing yang pass  . 
cmiiw",sbner data terus masa intai menunggu timing pas correct me if i'm wrong
196,biasa nya ini ulah bede nya jga.. ,biasa ulah bede juga
197,udh rahasia umum...polisi mah udh pegang nama siapa2nya..alaesan info dr masyarakat kan spy keliatannya aja ada andil dr masyarakat.,rahasia umumpolisi mah pegang nama siapanyaalaesan informasi dari supaya lihat andil dari
198,percaya sama polisi? hahahahahaha ,
199,Cepu dan bandar adalah masyarakat,bandar
