sentiment,tweet,Processed Text
1,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j ,mini giveaway hubung ultah mau rezeki pulsa k like mau mutualan banget doain undi
1,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego ,mantan brengsek jangan dilupain justru jadi ingat pernah salah pilih bego bego
1,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal ,aryana buka mata besar besar pilih syafiq biar sofea bahagia sama adrian pls laaaaaaaa murung kal
0,hyung kamu kanibal kan ' ' ,hyung kanibal kan
1,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,buat cita cita setinggi bintang langit jangan lupa buat anak tangga rencana cendekiabijak
-1,kamu ga laku laku unn ,enggak laku laku unn
-1,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada ,try lupa benda tapi akhir benda buat jadi down iya allah lah hilang kecewa ada
0,jajanin aku kak ,jajanin kak
-1,iyaaaa kasian donghae nya aku kelelep ,iya kasihan donghae nya lelep
0,ini tiga aku satu aja gapunya ' ,tiga satu enggak punya
0,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,hai semua ada give away give away nya album bts love yourself answers yey cukup follow retwee
1,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm ,cantik lah confess kat crush peluang kena reject nipis sel epidermis bawang je tang kalau confess hmm
0,'aku di rumah aja' adalah anagram dari 'besok malam minggu',rumah adalah anagram besok malam minggu
0,jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k ,jumat malam sama kawan dalam mobil tuju sebwah apartemen diurabaya barat b gaes maaf iya a
-1,aku juga pernah dah kek gitu 2x gaada hasil percumaa,pernah deh begitu x ada uang hasil percumaa
-1,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana ,ku kira introvert nyata enggak punya uang jadi malas mana mana
1,cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku,cnta tuh foto albm tahu enggak dbalk tetap enggak brbh sama enggak pernah brbh jadi baik
1,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau ,yang buat makin yakin indonesia damai di pimpin beliau
-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,fakap betul kalau nak pergi makan ramai nak happy tetibe yang badmood woiiii nak makan je woiii
-1,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,kalau awek bising nothing is wrong once awek deh senyap everything is wrong perhaps deh someone
-1,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,pernah habis enggak berani bawa motor lama beberapa hari pas mau bawa motor gemeteran
1,aku nk walk in ajelah senang,nk walk ajelah senang
1,jadilah seperti aku,jadi
1,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat ,sentiasa ingat diri jangan selalu tunjuk gembira depan sedang kecewa moga sentiasa ingat
0,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a ,nang kampus ngopi ketemu wongwong podo kabeh takok e lapo ubah sosyeti a
-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,gipewei sedih seokjin rt fllw rep pict seokjin tag kalau mau doain tidak apaapa enggak tidak apaapa
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,teman teman ada jatinangor sekitar tolong beli iya jual bapak beliau jual kain lap keset
1,hahaa aku juga ga ngerti tadi tp asal jwb aja,hahaa enggak erti tadi asal jawab
1,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men ,kelak jadi orangtua akan laku yakin anak nak percaya sama ayah tidur siang men
-1,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu ,apa kabul doa ku klosdonecepatnya okey kalau mau
1,aku terhibur hahahahahahahahahahahaha,hibur hahahahahahahahahahahaha
0,kamu juga kan ,kan
0,x de adab betul budak ni pinjam buku aku ,kali adik adab betul budak pinjam buku
1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber ,okay but the bahasa melayu names for our malaysian birds selalu buat mudah hibur contoh burung rek ber
-1,makin lama rasa apebende laa aku melalut ni i better stop ,makin lama rasa apebende lah melalut i better stop
1,iya lucu emang dia aku temenan di ig,iya lucu memang teman ig
-1,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak ,dear makhluk hidup sekitar kalau mau tahu tanya langsung enggak usah lewat lumayan kan enggak
-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot ,member adek cite kat dibreak up gf die time cerita suddenly menang weyh tahun sama kot
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je tahu tidak tahu
0,kenapa popular weh sorry aku blur x paham mksd hg ,popular weh maaf blur kali paham maksud hg
1,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,lhaa kaann ancene arek e kurang pintar wayah e konco terus ambk arek e sopo erti ciprat rezeki
1,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov ,give away time raya ulang tahun namjoon ulang tahun ada give away photocard juga album lov
0,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d ,broimak video ribka tjiptaning tulis buku bangga jadi anak pki tuju pki tetap yang di
1,kak mau jugaa,kak mau
0,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan ,mau mandi diceramahin dulu sama nyonya besar inti sama tobat habis iniiap komandan
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi ,para suami nasihat jangan forward gambar kepada isteri baru forward tadi
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup ,faham betul lelaki suka perempuan pakai makeup
-1,wasyuu ,wasyuu
1,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew ,yang ingin jadi tempat singgah terakhirebesar harap kepada jangan mengecew
1,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit ,dulu lahir jogja jogja juluk kota hati nyaman pantas langsung pakai hati kalau nyaman dikit
1,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,temanteman jumpa ayat guna guna time korang tengah putus asa sabar terbahagi dua iaitu sabar
0,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb ,jual suruh tebuk lubang kecil tahan lebih hari dah nk dekat bulan kali hb
1,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt ,fresh grad tgh cari kerja try amal zikir semua doa alhamdulillah lepas amal pon
-1,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to ,at least datang balik minta maaf okay lah hilang radar tinggal pesan ingat senang nak stick
-1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,macam mana nak tidur kalau fikirkan sayang okay tidur lena perlu tidak kakak
0,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa ,kengkawan lama suka cari bila nak translate bahasa jawa hahah ingat anak jawa
1,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun ,kalau akhlak lebih baik enggak kalau lebih harga melindun
0,karena aku kepo 11 13 20,mau tahu urus
-1,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin ,betul betul nak mintak bantu korangemua cari haji loqman bin haji azli mugkin korang kenal mugkin
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,her miss kan taman safari jauh iya pasuruan malas nganterno andrew kesana kalau taman safari undang baru
0,berarti aku bener dong jawab cowok dapet 2jt nggak nih ,arti benar dong jawab cowok jt ini
0,tls followan ama aku yukk rep rt kita temenan,tulis followan sama yuk rep rt teman
-1,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,modal nomad ribu kotak popcorn modus mesum lancar pertama tama rasa aneh lama lama izin maksiat
-1,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan ,terkadang allah kasih tahu kalau itu bukan buat cara sakit
-1,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i ,back then school cikgu semua macam eh jangan cinta sekarang kat uni handsome handsome jumpa now i
-1,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis ,ingat tidak macam mana mula mula kenal dulu awal nya tertawa akhir menang
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,kalau sungguh nak jaga je henti pura jaga diri paksa perl
-1,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,iya hubungin iya butuh dosa berapa banyak wkwk
1,buat dong aku kan juga istrinya daniel ,buat dong kan istri daniel
-1,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai ,kalau mahal service bagus takpe streamyx kat rumah barai
1,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,hihihihi look at the face lepas taknak bau ikan mandi dulu namau nameow catsoftwit
-1,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss,jauh jalan dahlia baru peras tinggal labcoat kat dinamik sobss
0,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki ,antra bebanyak pondan malaysia rasa viviana bila cakap content ive never thought ya komuniti ki
0,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk ,lepas jenguk movie onetwojaga ingat time intern dulu kerja contractor quantityurvey juruuk
0,ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana ,tahan sayang juga paksa kapel yang mana
1,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa ,temanteman today nak rekomen kat korang movie best some of you maybe pernah jenguk movie lagi berapa apa
-1,sudah waktunya aku mulai menjalani hidupku sendiri mello death note ,waktu mulai jalan hidup sendiri mello death note
0,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei ,sok pergi klinik muntah jenguk carta organisasi buat nak gelak apa wei
-1,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri ,tampak lah semua dp gambar kawen husband je dp gambar ambik sendiri
0,ya allah pengen ngakak goler2 aku sama trit iniiii ,iya allah pengin tertawa goler sama trit iniiii
1,tolong la harini je dah banyak sangat ketawa krem perut aku yall,lah harini je deh banyak sangat ketawa krem perut yall
-1,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,i dont know lah nak kata macam mana sekarangebab sorang rasa sakit sok dont judge me
-1,mu gemes banget adminnya aku ga jadi marah ,mu gemas banget adminnya enggak jadi marah
0,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa ,pastu kan perangai masih babi tampak sangat taknak kahwin biasa biasa
0,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s ,siang bahagia friday sholat jumat nya jangan lupa iya habis giat terus ada latih bareng team si
0,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka ,kawan tips dietebab masa cuti just makan untuk diet and bila naik sem hari deh kurus giler kakak
1,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,tuhan yesus kata ganti rasa frustasi hati damai sejahtera mbml
1,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo ,doa lelaki tengah kerja cari duit pasang masing masing beri kesihatan murah rezekiemo
-1,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt ,bisa naruto padahal memang pengin nyium muka disalahin lantai
-1,keluar airmata jantan aku baca ,keluar airmata jantan baca
-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,siapa first impression macam niumpah ingat dulu sombong gila cakap macam sombong p
0,aku tadi nge rt wah wah wah,tadi nge rt wah wah wah
-1,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape ,wah pas tonton berita yang lamar pas wisuda jadi tuh yang nak lamar pon siape
0,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu ,benar takde ciri bila deh sayang someone gelap suka putih suka tidak hensem punya
1,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,teman teman ada jatinangor sekitar tolong beli iya jual bapak beliau jual kain lap keset
0,antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka ,ayat tipu paling besar jap tengah siap on the way sedang jalan study takda kredit lah pakai duit kakak
0,izinkan aku mengupload ini ,izin mengupload
-1,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin ,rasa bisa laku apa elfungmin
-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl ,instagram facebok twitter cantik depan depan takde lah cantik mana bagitahu akuekarangiapa je nak upl
1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,syukur hingga lupa rasa kurang tulisanirin jumatberkah
1,segitu kangennya ya mba sama aku ,segitu kangen iya mbak sama
0,kamu jangan lupa sholat dzuhurnya,jangan lupa sholat dzuhurnya
0,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu ,life skang simplekan je suka layan je penat nk jaga hati je pikir diri sendiri dulu
-1,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,bayang kalau posisi di bwah lihat rendah materi punya
1,hidup ini adalah pilihan yang harus kamu pilih,hidup adalah pilih harus pilih
0,tiap salam buat suami aku exo di korea paaak ,tiap salam buat suami exo korea pak
-1,laa haha sorry2 akualah paham ,lah tertawa sorry akua paham
-1,receeehh ah kamu,receeehh ah
0,masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap ,masalah pinjam lighter bang pinjam lighter jap terang kena diri jap dup satu pam kene hembus dulu nak ucap
-1,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau ,kurang kurang nya rm kalau budak miskin nk suruh macam mana minta sedekah lepastu bila cukup
0,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l ,tidur buka kipas aircond bcs takut the kitten sejuk bangun approximately every hours just menang l
1,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah ,if sih keli boleh jadi femes apantah kan kahkahkah
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,hati kecewa sedih sorang je tahu tidak tahu
-1,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be ,mau beli barang shupe harga puluh ribu ongkirnya ribu kesel banget deh wheres the justice tho jadi kayak be
-1,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,butuh selang waktu kerja visual biar mampus kalian tunggu kali rasai p
-1,kok gitu sama aku,kok sama
-1,kukira aku introvert ternyata juga pedopil ,kira introvert nyata pedopil
0,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b ,p sama pagi apa malam iya pagiudah pernah coba trik pancing pancing kayak b
1,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku ,sayang sakit jadi sentiasa buat sayang
-1,omg kau jgn buat aku g kfc ppagi cmni ,omg jangan buat enggak kfc ppagi cmni
0,mamak ni nak try aku ke apa ,mamak nak try apa
-1,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan ,yang mau serius nya raguuu bagaimana dong sudah jangan kasih harap dia kasiaan
0,tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t ,tomorrow i will date with yesterdays you movie download kata sedih start movie ending duk fikir t
1,i liked a video aku tanya pak jokowi pakai bahasa jawa ,i liked a video tanya pak jokowi pakai bahasa jawa
-1,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada ,kalau jadi atas enggak usah sombong deh tindas karyawan apa langsung jadi milyuner larang enggak masuk ada
0,aku ngatau nih bang definisi berhasil apa nga ,ngatau bang definisi hasil apa enggak
0,sama aku kapan ,sama kapan
0,aku main ww deg degan mulu wkwkwk id kamu apaa ,main ww deg degan melulu wkwkwk id apa
-1,kayak woojin kesringan barengih dasar anak kembar ,kayak woojin kesringan barengih dasar anak kembar
1,okaay nggapapaa aku minta doyoung ajaa makasih yaa ,okaay nggapapaa minta doyoung terima kasih
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,kalau sungguh nak jaga je henti pura jaga diri paksa perl
0,aku jual ,jual
-1,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat ,dulu waktu kecil cita cita jadi orang khianat
0,waw beliin buat aku dong,wow belikan buat dong
1,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat ,terima nikah mas kahwin bacaanurah al fatihah dear future wife kahwin sedekah al fat
1,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,makan samyang yuk lama enggak makan samyang lama enggak sayang
