Unnamed: 0,tweet,Processed Text,sentiment
71,"Titip, siapa tau ada yg nyari jasa bersih kosan 25rb aja udah lengkap+bersihin kamar mandi dalem. Bisa kirim barang/titip juga. Dom solo jogja nih",titip siapa tahu yang mencari jasa bersih kosan ribu saja sudah lengkapbersihin kamar mandi dalem kirim barangtitip dom solo jogja ini,Negatif
72,Semangat sayang,semangat sayang,Positif
73,Alhamdulillah ye. Btw ini here we go again enak banget dah,alhamdulillah ye ngomong-ngomong here we go again enak banget deh,Positif
74,Anjay,anjay,Positif
75,Akhirnya sayangkuuu,akhir sayangkuuu,Positif
76,pengen nnton konser lu lagi,ken menonton konser kamu,Negatif
77,Ahirnya bisa liat,ahirnya lihat,Positif
78,Tar siangan w tonton,nanti siang gue tonton,Positif
79,"Akhirnya aku bisa manggung lagi meski di nikahan tetangga 

masang panggung",akhir manggung meski nikah tetangga masang panggung,Positif
80,Ajak dong,ajak dong,Positif
81,Bikin lagi dong ,bikin dong,Positif
82,"misi..
inpods 12 nya kakak..
",misiinpods nya kakak,Positif
83,Warna baru di lagu cigarettes of ours. Sukak bgt!! Bikin lagu duet gaksih?,warna baru lagu cigarettes of ours suka banget bikin lagu duet gaksih,Positif
84,Aku sayang bgt sama kamu too,sayang banget sama too,Positif
85,You look great,you look great,Positif
86,"Tdi nonton livenya, eh taunya udh lagu penutupan):",tadi menonton livenya eh tahu sudah lagu tutup,Negatif
87,virtual photoshoot,virtual photoshoot,Positif
88,Yahh telat,ya terlambat,Positif
89,Sayang,sayang,Negatif
90,Kamu gantenk banget sayang tadi,gantenk banget sayang tadi,Positif
91,Keren bgtt ,keren banget,Positif
92,aaakkk thank u brouuuu ,aaakkk thank kamu brouuuu,Positif
93,Asikk,asikk,Positif
94,Keren banget sumpah. Sepanjang konser ikutan nyanyi terus ...,keren banget sumpah panjang konser ikut nyanyi terus,Positif
95,Apa kabar omnibuslaw bung? Merdeka!!,apa kabar omnibuslaw bung merdeka,Negatif
96,mantapppp,mantapppp,Positif
97,Kapan dito,kapan dito,Negatif
98,Aww sayang aku,aww sayang,Positif
