Unnamed: 0,tweet,Processed Text,sentiment
81,"""hasil laporan masyarakat"" ketawain aja lah wkwkwk",hasil mentertawakan wkwkwk,Positif
82,"Modelnya gini, diam berteman bergerak masukin tahanan",model gin diam gerak masukkan tahan,Negatif
83,"Gw yakin masyarakat jg g pduli artis pake narkoba apa engga, mereka berkarya mereka punya duit buat beli dan mereka g ngerugikan masyarkat.",yakin pduli pakai apa karya duit buat beli ngerugikan masyarkat,Negatif
84,bs jd ada spionnya,spion,Positif
85,"Info dari masyarakat adalah kode untuk ""intel""",informasi kode intel,Positif
86,"Dulu ku pernah dapat kabar dari siapa gitu Kak, kalau polisi sebenernya udah mengkantongi siapa aja yg pake. Terus kalau pemakai sudah make lama baru ditangkap. Kaya' dibiarin dulu biar mengembang baru ditangkap gitu. Tapi gak tau ini fact atau hoax",dulu ku pernah kabar siapa kak polisi sebenarnya kantong siapa yang pakai terus pakai memakai lama baru tangkap kayak dibiarkan dulu biar kembang baru tangkap fact isu bohong,Negatif
88,"Kalo saya yakih sih ada artis yg nyambilan jadi cepu seperti admin Lamtur, karena jujur saya pernah ditawarin jadi cepu narkoba karena kebetulan saya punya temen WNA Filipina, tau kan Filipina Narkobanya Jor-joran makannya ditembakin sama Duterte.",yakih nyambilan cepu admin lamtur jujur pernah ditawarin cepu betul wna filipina filipina narkobanya jorjoran makan ditembakin duterte,Negatif
89,"Mau polisi punya list artis yang make narkoba atau ga punya kan bukan urusan kita, yang penting polisi udah lakuin tugasnya dengan baik. Heran bgt netizen wkwk",mau polisi list memakai bukan urus penting polisi melakukan tugas baik heran banget netizen wkwk,Positif
90,I don't even know who ardhito is,i dont even know who ardhito is,Negatif
91,Temen²nya kan masyarakat juga,temannya,Positif
92,"Iya percaya aja udah, serah elu p",iya sudah serah kamu p,Negatif
93,Masyarakat = bandarnya,bandar,Negatif
94,Percaya kok sama polisi,kok polisi,Negatif
95,Cepu kan oknumnya masyarakat,cepu oknum,Negatif
96,Yg dimaksud masyarakat itu bisa dinamakan cepunya yg jg dpt bagian keuntungan kalo ngelapor,maksud nama cepu juga bagi untung ngelapor,Positif
97,seperti biasa. akan ada kasus besar yang tertutup sama kasus artis. tidak heran lagi,biasa besar tutup heran,Negatif
98,"ya kan pulici punya intel, artis jg punya banyak ""musuh"" klop lah",pulici intel musuh klop,Negatif
99,Laporan masyarakat???hmm...,masyarakathmm,Positif
100,Laporan masyarakat yg dimana? Bilang aja klo udah waktu nya tukar kepala,bilang waktu tukar kepala,Negatif
101,"Bener sih, saat mereka sedang lepas dinas (libur) mereka jd masyarakat",benar sedang lepas dinas libur,Negatif
102,"Ya salah sendiri buat konten yg ceritain doi pernah pake, paling gak dari situ udah masuk warning list.",salah sendiri buat konten ceritain doi pernah pakai paling situ masuk warning list,Negatif
103,Kerjasama dengan pengedar dong wak,kerjasama edar dong wak,Positif
104,ganja not drug,ganja not drug,Negatif
105,Bisa jadi yg laporin temen ardhito di dunia artis atau enggak kan mereka juga masyarakat,laporin ardhito dunia,Negatif
106,"Ketika ad kasus korupsi, lgsg lempar smoke grenade.",korupsi langsung lempar smoke grenade,Positif
107,"Dulu pernah satpam komplek cerita di penjara krn narkoba. 
Cerita dia di laporin sama istri nya nyabu. 
Krn pengen istri nya liat dia g nyabu lagi. 
Mana tau yg laporin istri nya biar bisa di rehab",dulu pernah satuan pengamanan komplek cerita penjara cerita laporin istri nyabu ken istri lihat nyabu mana laporin istri biar rehabilitasi,Negatif
108,"Ya ga mungkin lah bilang ""kita ada 1nt3l""",mungkin bilang ntl,Negatif
109,"Ya dilogika aja sih bang masa polisi punya kartu AS mau dibuka sih, rahasia lah ",logika masa polisi kartu as mau buka rahasia,Negatif
110,cepu juga bagian dari masyarakat bang,cepu,Negatif
111,pppp cepuuu,pppp cepuuu,Positif
112,Hahaha...itulah kerja intelejen...,hahahaitulah kerja intelejen,Negatif
113,How come??? Laporan masyarakat yang mana??,how come mana,Negatif
114,"Laporan polisi ketika sedang jadi masyarakat, alias ngintel",polisi sedang alias ngintel,Negatif
115,banyak tukang jualan dadakan bawa HT keknya nih,tukang jual dada bawa hati ini,Negatif
116,iyain aja bang,iyain,Negatif
117,"Pak pol juga masyarakat, sipil bersenjata wkwkwkkw",pak pol sipil senjata wkwkwkkw,Negatif
118,"Punya pasti daftare, cm nangkape pake sistem arisan kayak e, dikocok nha nama yg keluar diciduk deh ",daftare cuma nangkape pakai sistem arisan kayak e kocok nama keluar ciduk deh,Positif
119,"Ya temen dekatnya juga kan termasuk 'masyarakat' bang, gimane sih lu bg",dekat masuk gimane kamu abang,Positif
120,Cepunya mah si muslim wkwk,cepu mah muslim wkwk,Positif
121,hmm,hmm,Negatif
122,Korupsi gmnn??,korupsi gmnn,Positif
123,"""masyarakat"" nya bawa handy talky broo",bawa handy talky broo,Negatif
124,Ada namanya kepala tuker kepala min di dunia begituan,nama kepala tuker kepala min dunia,Negatif
125,Percaya sama Polisi? Hmmm Nope!,polisi hmmm nope,Positif
126,"Pertanyaan gua, emang knp klo polisi punya daftar artis yg ""make"" ? 
Ini koreksi aja ya kalo salah, menurut gua ga ada masalah klo polisi punya daftarnya.",tanya memang polisi daftar memakai koreksi salah masalah polisi daftar,Negatif
127,halu pulici halu,halu pulici halu,Negatif
128,"Kalo emang pengen memusnahkan narkoba harusnya bandar yg ditangkep, simple",memang ken musnah bandar ditangkep simple,Negatif
129,Janggal,janggal,Positif
130,"""Laporan Masyarakat"" Permainan kata",main kata,Negatif
132,Bohong ,bohong,Negatif
133,Laporan masyarakat ? Lah anggota kalian jadi oknum aja didiemin.,anggota kalian oknum didiemin,Negatif
134,"Ya, saya tahu anda orang hebat ",hebat,Positif
135,ga mungkin juga mereka mengakui “oh iya kita punya daftar semua artis yg pake” gamungkin dong,mungkin aku iya daftar semua pakai gamungkin dong,Positif
136,Masyarat yang make juga dan polisi yang jadi masyarakat,masyarat memakai polisi,Positif
137,"Ada yang namanya ""Reserse"" sih, semacam polisi rahasia.",nama reserse macam polisi rahasia,Negatif
138,Mau bilang cepu gak enak bilangnya masyarakat,mau bilang cepu enak bilang,Positif
139,Pengalihan isu ga si,alih isu,Negatif
141,si paling peduli sm laporan masyarakat,paling peduli,Negatif
142,???? ya  in aza,saja,Negatif
143,"Karena ga semuanya perlu diketahui masyarakat kl sdh giat penegak hukum. Coba cek aja omongan KPK setelah OTT, dr jaman baheula sampai skrg, sama kok. Pasti dr laporan masyarakat",semua perlu giat tegak hukum coba cek omong kpk ott jaman baheula sekarang kok,Negatif
144,lu tau intel ga si mba wkwk,kamu intel mbak wkwk,Positif
145,Laporan cepu = laporan masyarakat,cepu,Negatif
146,Elehhh bokis wkwk,elehhh bohong wkwk,Negatif
147,"Trus klo gak sama polisi sama siapa lagi percaya bro, gw juga yalin polisi punya caranya sendiri buat ngungkap kasus ginian gak musti punya daftar, contoh ada masyarakst ketangkep trus di introgasi trus ketahuan siapa aja yg make",terus polisi siapa saudara laki-laki yalin polisi cara sendiri buat ngungkap beginian mesti daftar contoh masyarakst ketangkep terus introgasi terus siapa yang memakai,Negatif
148,"Ini bisa yang udah ketangkep ngasi tau atau enggak temen sesama artisnya klo masyarakat mustahil sih,beda klo si artis open house terus narkoboy nya berserakan gtu",sudah ketangkep mengasih mustahil sihbeda open house terus narkoboy sera,Negatif
149,Ya kan ardhito punya tmn mbaeeee. Emg tmn ardhito bukan termasuk masyarakat? Pastilah laporan2 kyk gini itu dari org2 terdekat mereka ,ardhito mbaeeee memang ardhito bukan masuk gin orang dekat,Negatif
150,Habisi semua,habis semua,Negatif
151,Cepuuu,cepuuu,Positif
152,pengalihan isu tentang pengalihan isu,alih isu alih isu,Negatif
153,Yg lebih aneh kenapa bandarny gak pernah ketangkep,lebih aneh bandarny pernah ketangkep,Negatif
154,"Tapi kalo misalkan polisi punya daftar terduga sebetulnya juga gak salah kan? Yang jadi pertanyannya sih kenapa pas ditangkep selalu berbarengan dengan isu lain yang lebih urgent, seolah2 penangkapan ini ibarat pengalihan isu. Keknya dari situ sih kecurigaan masyarakat",misal polisi daftar duga salah pertanyannya pas ditangkep selalu bareng isu lebih urgent tangkap ibarat alih isu situ curiga,Negatif
155,Pemakenya ditangkepin bd dianggurin,pemakenya ditangkepin bd dianggurin,Positif
156,"Ya bener juga, yg lapor masyarakat yg profesinya...",benar profesi,Positif
157,Wkwkwk,wkwkwk,Positif
158,Mli yang Cepu,mli cepu,Negatif
159,Kenapa sih bg junkies itu di penjara bukan direhabilitasi sih?,abang junkies penjara bukan rehabilitasi,Negatif
161,"""ini hasil laporan masyarakat"" maaf ini negara mana ya?",hasil maaf negara mana,Negatif
162,"Yaa temennya lah yang nyepuin, siapa lagi?",temannya nyepuin siapa,Negatif
163,Gabut bgt  keknya masyarakat sampe jd cepu wkwk,gabut banget cepu wkwk,Positif
164,ga make sense alasannya,memakai sense alas,Positif
165,Biasanya masyarakat lapor g di gubris ,biasa gubris,Negatif
166,"Masyarakat disini artinya bukan masyarakat biasa donggg, temen artis nya yg lain kan itungan nya masyarakat juga penyebutannya.",sini arti bukan biasa dong hitungan sebut,Positif
167,"Dari kurir yg ketangkep
Terus dikembangin",kurir ketangkepterus dikembangin,Positif
169,cepu kan masyarakat juga bang,cepu,Negatif
170,"Laporan masyarakat, kelasnya  ""Masyarakat Elite""",kelas elite,Negatif
171,masyarakat yg mana?,mana,Negatif
172,Hah laporan masyarakat ?? Masyarakat mau lapor aja dibuat ribet.,hah mau buat ribet,Positif
173,Gak di tangkep salah di tangkep di cari2 biar keliatan janggal apa sih mau nya???,tangkap salah tangkap cari biar lihat janggal apa mau,Negatif
174,"Iya mba, biarkan yg berseragam melakukan tugasnya 
Tugas kita hanyalah menghujat",iya mbak biar seragam laku tugas tugas hujat,Negatif
175,Cepu lah. Banyak diluar sana.Antara temennya sendiri atau orang terdekat. Atau emang dijebak juga bisa. Ya makanya jangan nain narkoba. Heheh,cepu luar sanaantara temannya sendiri terdekatatau memang jebak makanya jangan nain heheh,Positif
176,menurut gua sih ada orang dalem yg bocorin artis2 yg make gituan,dalem bocorin memakai begituan,Positif
177,Bukannya masyarakat itu pada males lapor ya? Karena nanti ada  ini dan itu dan sejenisnya,bukan malas ada dan jenis,Negatif
178,Apakah “masyarakat” yang melapor adalah golongan tukang bakso dll?,golong tukang bakso,Negatif
179,Artis juga ada yang cepu.. ,cepu,Negatif
180,Kayak selama ini laporan masyarakat ditanggepin aja,kayak lama ditanggepin,Negatif
181,Polisi kan juga masyarakat.. ,polisi,Positif
182,"Kalau konteksnya fico,,emang dia nya aja flexing sendiri di tweet nya,,di retweet followernya,,nyampe deh ke BNN,,,yaa bener emang,,hasil laporan masyarakat,,warga Twitter khususnya,",konteks ficoemang flexing sendiri tweet nyadi retweet followernyanyampe deh bnnyaa benar emanghasil masyarakatwarga twitter khusus,Negatif
183,"Alias cepu, di alusin jadi laporan masyarakat, padahal kalo masyarakat lapor polisi seringan di diemin",alias cepu alusin padahal polisi sering diamkan,Negatif
184,"Gua coba buat kesimpulan dr premis yang lo punya mas. Ada beberapa orang yg tau kok ardhito punya istri, tapi ya buat apa ""dilaporin"" atau disebarluaskan. Cukup 1 orang aja yg tau dan melaporkan Ardhito pake narkoba udah cukup utk dijadikan bahan penyelidikan polisi.",coba buat simpul premis kamu masada beberapa kok ardhito istri iya buat apa dilaporin disebarluaskan cukup yang ardhito pakai cukup bahan lidi polisi,Negatif
185,Polisi yg nyamar jd masyarakat kak kayanya,polisi nyamar kak kayak,Positif
186,Mungkin temennya si artis. Temennya si artis masyarakat juga kan.,mungkin temannya temannya,Negatif
188,masyarakat sebelah mana?,belah mana,Negatif
189,Kek tak tau ja bang,tidak,Negatif
190,"Kan banyak polisi ""swasta""",polisi swasta,Positif
191,"Mereka kan juga punya orang kesekian dan kerja sama bareng ""mereka"" juga, jadi ya, udah pasti, udah jelas.
Perihal dia udah punya istri dan nikah tapi publik nggak tau mah, kurang.",sekian kerja bareng jelasperihal sudah istri nikah publik mah kurang,Negatif
192,Penting sopan,penting sopan,Negatif
193,"Lagi rame kasus korup terus ada kasus artis pakai narkoboy, heboh artis lah",ramai korupsi terus pakai narkoboy heboh,Positif
194,"Aku percaya tapi karena ajaran ""percaya hanya ke Tuhan"" jadi aku memilih untuk tidak percaya lagi pada polisi",ajar tuhan pilih polisi,Positif
195,"sbner nya data nya udah ada..  trus masa pengintaian. nunggu timing yang pass  . 
cmiiw",sbner data terus masa intai menunggu timing pas correct me if i'm wrong,Positif
196,biasa nya ini ulah bede nya jga.. ,biasa ulah bede,Negatif
197,udh rahasia umum...polisi mah udh pegang nama siapa2nya..alaesan info dr masyarakat kan spy keliatannya aja ada andil dr masyarakat.,rahasia umumpolisi mah pegang nama siapanyaalaesan informasi lihat andil,Positif
198,percaya sama polisi? hahahahahaha ,polisi hahahahahaha,Positif
199,Cepu dan bandar adalah masyarakat,cepu bandar,Negatif
